sales_person,sales_department,amount,quantity,street,city,state,item_id,date
Linn Becerra,Department B,$62.02,96,2 Riverside Hill,Birmingham,Alabama,dbc059765d12d8d65f1294f3cf762167,1/31/2017
Linn Becerra,Department B,$41.51,7,66172 Thierer Plaza,Springfield,Illinois,f85a7324056fafe32326e3bea6159f18,6/7/2016
Chad Yeatman,Department A,$90.81,41,6801 Moulton Place,Houston,Texas,0b96bc607f3d45f9fc9bcf98ee3832ea,2/16/2017
Shane Simkins,Department B,$72.28,78,7 Porter Court,Salt Lake City,Utah,b9ef05f474415152329baa872daeb18c,12/4/2016
Ortensia Le,Department C,$27.60,46,78369 Fuller Avenue,Saint Paul,Minnesota,8f27a56beddac8140948e560b1b97825,12/6/2016
Chad Yeatman,Department A,$91.82,4,5820 Starling Crossing,Pittsburgh,Pennsylvania,036ceca19c0ea3997d17eda18ae16c5a,12/29/2016
Rutherford Kermath,Department D,$27.47,41,08712 Stoughton Way,Pittsburgh,Pennsylvania,de6895593cc6b74ec64e76abb048774a,3/3/2017
Nell Lindup,Department C,$19.34,88,93370 Dayton Lane,Johnstown,Pennsylvania,fa48267fc6552d949e472ecb01c2a003,2/8/2016
Ashleigh Baudinot,Department D,$41.47,46,2612 Buena Vista Hill,Los Angeles,California,4cbd55d8ae9cd3658feed8e94e0f8dc7,8/6/2017
Zaneta Delmage,Department B,$84.41,31,90904 Ridgeview Parkway,Tallahassee,Florida,99b06d054257e0b5d0adf436d59aafbb,8/10/2017
Atlante Harower,Department D,$7.75,67,750 Atwood Drive,New York City,New York,c253f0926ea6738ee1c5395f3e809d2c,8/8/2017
Modesty Berringer,Department D,$62.22,50,427 2nd Crossing,Saint Paul,Minnesota,2546e4814d1cbe6147019aabba141738,6/14/2016
Bartholemy Kment,Department B,$19.12,77,1 Garrison Way,Oakland,California,006ff80f6854819ba26ff0b58b8ab570,7/1/2016
Celestyna Erskine,Department C,$79.87,90,135 Larry Parkway,Glendale,California,1bddfdad53cbccafdc07acd0b546995f,8/9/2016
Ignacio Arpur,Department A,$16.79,60,41526 Roxbury Street,Wichita Falls,Texas,7401768dc8b19d6c316017e5d2288995,8/26/2016
Rutherford Kermath,Department D,$68.73,38,266 Northview Junction,Atlanta,Georgia,c606382f19edfd0fcf82446cf8c0cabc,6/20/2017
Ignacio Arpur,Department A,$85.79,87,344 4th Pass,Nashville,Tennessee,8149eeab98a26f958cd0b0976c449326,12/10/2016
Chad Yeatman,Department A,$84.55,41,8899 Northview Court,Fort Lauderdale,Florida,2a323f6d1a82aa77b26993fb316310c1,5/21/2016
